edition      centre       date         dataType     gridType     stepRange    typeOfLevel  level        shortName    packingType  
2            kwbc         20250101     fc           lambert      0            surface      0            cnwat        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            sdwe         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            snowc        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            sde          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  2            2t           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  2            pt           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  2            2sh          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  2            2d           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  2            2r           grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  8            mdens        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  10           10u          grid_simple 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  10           10v          grid_simple 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  10           max_10si     grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  10           unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            heightAboveGround  10           unknown      grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            cpofp        grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            prate        grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            tp           grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            sdwe         grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            unknown      grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            frzr         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            ssrun        grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            bgrun        grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            csnow        grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            cicep        grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            cfrzr        grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            crain        grid_simple 
2            kwbc         20250101     fc           lambert      0            surface      0            fsr          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            fricv        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            ishf         grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            slhtf        grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            veg          grid_complex_spatial_differencing 
2            kwbc         20250101     fc           lambert      0            surface      0            unknown      grid_complex_spatial_differencing 
